Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Nurova (Кофейинови дъвки) (product.metafields.custom.nurova),Product rating count (product.metafields.reviews.rating_count),Shogun: A/B Product Test (product.metafields.shgabc.ab-product-updates),Color (product.metafields.shopify.color-pattern),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Bulgaria,Price / Bulgaria,Compare At Price / Bulgaria,Status
шиладжит,Натурална формула за жизненост и спокойствие - с Хималайски Шиладжит,"",Hydrowise,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Herbal Supplements,"","",true,Title,Default Title,,,,,,,,BF-POD0006,0.0,shopify,9966,continue,manual,19.99,24.99,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/9989/4103/files/PPNOVO1.png?v=1773069767,1,"",false,,,,,,,,kg,,4.38,true,,,active
шиладжит,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0894/9989/4103/files/PPnovo.jpg?v=1773069767,2,"",,,,,,,,,,,,,,,
шиладжит,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0894/9989/4103/files/PPNOVO2.jpg?v=1771868970,3,"",,,,,,,,,,,,,,,
шиладжит,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0894/9989/4103/files/30_ee0fb3a6-b45b-4c7b-9719-595a636c72e9.jpg?v=1771868970,4,"",,,,,,,,,,,,,,,
електролити-hydrowise,Електролити Hydrowise - чиста енергия и фокус за уморени хора,"<p>За хора с офис работа, следобеден спад и постоянна умора - без кофеин, без сривове и без захар</p>",Hydrowise,"Food, Beverages & Tobacco > Beverages > Sports & Energy Drinks > Sports Drinks","","",true,Title,Default Title,,,,,,,,,0.0,shopify,483,deny,manual,19.99,29.99,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/9989/4103/files/ChatGPT_Image_19._Jan._2026_10_19_43.png?v=1768814603,1,"",false,,,,'2,,,,kg,,,true,,,active
електролити-hydrowise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0894/9989/4103/files/ChatGPT_Image_16._Jan._2026_13_17_57.png?v=1768814603,2,"",,,,,,,,,,,,,,,
как-да-се-хидраираш-правилно,Как да се хидраираш правилно,"",Hydrowise,Uncategorized,"","collection-hidden, search-hidden",true,Title,Default Title,,,,,,,,,0.0,shopify,10000,deny,manual,0.00,19.99,true,true,,,,,"",,,,false,,,,,,,,kg,,,true,,,active
nurova-кофейнови-дъвки,Nurova (Кофейнови дъвки),"",Hydrowise,Uncategorized,"","collection-hidden, search-hidden",true,Title,Default Title,,,,,,,,,0.0,shopify,2988,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/9989/4103/files/rn-image_picker_lib_temp_43d5f4ff-01cd-4c22-98e3-d636dec8f07a.jpg?v=1763291273,1,"",false,,,,'1,,,,kg,,,true,,,active
hydrowise-филтрираща-бутилка,Hydrowise (Филтрираща бутилка),"",Hydrowise,Hardware > Plumbing > Water Dispensing & Filtration > Water Filtration Accessories > Water Filter Cartridges,"","",false,Title,Default Title,,,,,,,,"",0.0,,-5,deny,manual,59.99,79.99,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0894/9989/4103/files/Untitled_933_x_1400_px.png?v=1749404020,1,"",false,,,,,,,,kg,,20.00,true,,,draft
hydrowise-филтрираща-бутилка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0894/9989/4103/files/9786ad7ab94daee0fcbd15f3a3988753.svg?v=1751376273,2,"",,,,,,,,,,,,,,,
